"Kod";"Nazwa";"ogółem;2013;[zł]";"ogółem;2014;[zł]";"ogółem;2015;[zł]";"ogółem;2016;[zł]";"ogółem;2017;[zł]";"ogółem;2018;[zł]";"ogółem;2019;[zł]";"ogółem;2020;[zł]";"ogółem;2021;[zł]";"ogółem;2022;[zł]";"ogółem;2023;[zł]";
1401000;"Powiat białobrzeski";3384,33;3612,78;3501,61;3461,85;3796,54;3924,35;4119,06;4410,45;4968,13;5563,78;6300,44;
1402000;"Powiat ciechanowski";3460,07;3564,73;3702,17;3840,19;4093,02;4466,27;4755,95;4967,97;5411,99;6213,79;6842,35;
1403000;"Powiat garwoliński";3406,49;3606,76;3671,07;3776,65;3893,41;4150,96;4373,13;4708,21;5145,34;5700,38;6409,48;
1404000;"Powiat gostyniński";3073,49;3164,95;3270,47;3394,93;3652,70;3876,10;4236,19;4637,28;5166,55;5806,09;6601,43;
1405000;"Powiat grodziski";3997,34;4135,31;4211,62;4352,30;4682,77;4978,59;5395,42;5761,51;6355,26;7139,72;7897,77;
1406000;"Powiat grójecki";3646,41;3845,30;3913,66;4133,21;4340,66;4584,70;4854,27;5088,28;5631,52;6247,81;6985,39;
1407000;"Powiat kozienicki";4445,71;4635,34;4698,55;4930,22;5164,02;5488,52;5673,51;5467,11;6517,33;7274,27;8404,56;
1408000;"Powiat legionowski";3689,53;3748,86;3889,27;3975,24;4166,59;4433,54;4722,05;5059,53;5512,45;6034,24;6827,81;
1409000;"Powiat lipski";3228,39;3372,09;3476,69;3567,68;3720,86;3869,60;4257,08;4564,75;5096,43;5595,82;6451,23;
1410000;"Powiat łosicki";3058,17;3280,27;3373,06;3369,26;3638,32;3800,57;3991,20;4486,10;4853,59;5362,58;6090,84;
1411000;"Powiat makowski";3064,46;3169,38;3217,27;3359,63;3593,25;3789,60;4093,31;4461,25;4766,83;5493,65;6268,57;
1412000;"Powiat miński";3238,87;3400,41;3533,17;3600,49;3858,75;4084,49;4373,77;4717,21;5091,06;5785,24;6445,47;
1413000;"Powiat mławski";2824,25;2929,91;3158,83;3262,68;3472,99;3811,03;4244,24;4636,34;4873,48;5385,65;6083,27;
1414000;"Powiat nowodworski";4283,89;4560,17;4714,08;4790,57;5042,02;5486,64;5781,86;6096,33;6814,66;7534,84;8250,46;
1415000;"Powiat ostrołęcki";3248,62;3414,19;3556,24;3584,42;3800,68;4031,87;4281,28;4564,72;4940,39;5661,05;6381,43;
1416000;"Powiat ostrowski";3340,13;3395,05;3398,20;3562,19;3870,99;4020,31;4308,21;4650,41;5168,08;5729,10;6304,42;
1417000;"Powiat otwocki";3629,76;3718,35;3853,17;3952,57;4159,58;4503,30;4983,60;5281,35;5622,45;6468,80;7241,67;
1418000;"Powiat piaseczyński";3892,64;4118,49;4030,78;4149,91;4102,07;4739,75;5120,47;5164,71;5664,70;6499,96;7302,29;
1419000;"Powiat płocki";3212,67;3351,79;3449,24;3509,53;3506,28;4001,91;4332,92;4631,84;5147,98;5772,84;6536,77;
1420000;"Powiat płoński";3370,85;3499,91;3555,74;3696,36;3866,14;4117,68;4421,56;4826,77;5279,65;5660,12;6421,42;
1421000;"Powiat pruszkowski";4726,11;4773,19;5064,05;5153,53;5405,38;5757,06;6124,57;6295,40;6773,28;7516,43;8411,30;
1422000;"Powiat przasnyski";3246,87;3357,77;3485,56;3574,27;3752,91;4025,27;4282,28;4638,79;5095,27;5756,31;6316,92;
1423000;"Powiat przysuski";3142,24;3330,24;3330,53;3423,77;3610,91;3794,10;4148,89;4653,63;5190,17;5564,37;6436,32;
1424000;"Powiat pułtuski";3113,27;3163,84;3165,95;3399,46;3609,92;3838,23;4195,24;4644,71;4975,47;5503,60;6240,56;
1425000;"Powiat radomski";2961,92;3062,57;3130,03;3276,95;3477,49;3687,64;4018,68;4362,35;4859,10;5412,43;6042,37;
1426000;"Powiat siedlecki";3059,64;3202,45;3253,13;3353,98;3522,32;3709,87;4073,76;4503,92;4861,68;5411,82;6084,48;
1427000;"Powiat sierpecki";3161,67;3184,66;3253,31;3393,19;3716,02;3980,58;4163,16;4613,59;4886,81;5505,06;6219,27;
1428000;"Powiat sochaczewski";3770,19;3943,02;4016,39;4171,83;4429,03;4629,40;5098,89;5741,89;6294,23;6994,09;7733,67;
1429000;"Powiat sokołowski";3034,42;3150,12;3568,59;3427,41;3684,06;3992,80;4242,82;4792,94;4932,00;5459,15;6368,58;
1430000;"Powiat szydłowiecki";2950,92;3081,57;3103,03;3329,68;3438,25;3610,92;3859,09;4157,78;4642,61;5271,91;5841,38;
