"Kod";"Nazwa";"ogółem;ogółem;2013;[szt.]";"ogółem;ogółem;2014;[szt.]";"ogółem;ogółem;2015;[szt.]";"ogółem;ogółem;2016;[szt.]";"ogółem;ogółem;2017;[szt.]";"ogółem;ogółem;2018;[szt.]";"ogółem;ogółem;2019;[szt.]";"ogółem;ogółem;2020;[szt.]";"ogółem;ogółem;2021;[szt.]";"ogółem;ogółem;2022;[szt.]";"ogółem;ogółem;2023;[szt.]";
2603000;"Powiat kazimierski";5;7;9;19;14;10;19;15;14;18;7;
2604000;"Powiat kielecki";3;12;4;6;4;13;68;37;140;81;98;
2605000;"Powiat konecki";43;45;45;59;56;75;66;48;62;49;72;
2606000;"Powiat opatowski";8;11;18;15;18;37;32;40;44;38;15;
2607000;"Powiat ostrowiecki";75;159;87;96;87;97;97;145;248;181;200;
2608000;"Powiat pińczowski";30;23;30;36;31;30;31;28;31;34;22;
2609000;"Powiat sandomierski";32;45;54;49;54;47;9;28;80;54;62;
2610000;"Powiat skarżyski";81;84;98;146;153;187;187;113;189;229;259;
2611000;"Powiat starachowicki";133;166;148;185;201;226;223;182;263;190;250;
2612000;"Powiat staszowski";33;38;40;39;64;49;37;76;85;49;42;
2613000;"Powiat włoszczowski";26;22;33;34;42;28;33;20;36;60;65;
2661000;"Powiat m. Kielce";1110;1032;1285;1301;1286;1673;1748;2160;2102;1975;2093;
2801000;"Powiat bartoszycki";150;163;150;165;145;216;208;209;231;211;245;
2802000;"Powiat braniewski";122;135;126;141;178;189;171;168;187;141;177;
2803000;"Powiat działdowski";203;154;201;173;162;273;328;282;239;328;372;
2804000;"Powiat elbląski";97;91;90;109;119;105;172;116;168;142;116;
2805000;"Powiat ełcki";429;422;392;405;496;519;783;755;831;771;568;
2806000;"Powiat giżycki";297;225;330;252;497;432;417;545;308;342;226;
2807000;"Powiat iławski";359;306;340;463;439;766;561;469;604;615;657;
2808000;"Powiat kętrzyński";191;257;212;249;292;263;336;275;339;238;288;
2809000;"Powiat lidzbarski";104;131;117;124;151;158;166;165;221;152;137;
2810000;"Powiat mrągowski";116;181;172;203;180;153;255;197;252;227;165;
2811000;"Powiat nidzicki";72;70;81;103;81;151;183;118;141;74;87;
2812000;"Powiat nowomiejski";41;58;46;51;56;98;68;56;93;101;113;
